"","HUM.clr","ROC.clr","POC.clr","D17"
"P124-PWY",0.393666253404852,0.0163437926658304,-0.124330863984014,0.70447294797596
"P125-PWY",-0.0311641193080072,-0.32085575665829,0.166606080626624,-0.555904523560035
"P161-PWY",0.130039781385696,-0.440895312265657,0.177862840642364,-0.465771622613424
"P4-PWY",0.100285498468689,0.254851979369123,-0.154650134530218,0.571806892587727
"P42-PWY",-0.485860536071084,0.483494973429085,-0.0936290390655062,-0.0811847446033272
"P562-PWY",0.252823902120442,-0.496578788306059,0.168900799583235,-0.341173663560413
"PANTO-PWY",-0.489396538287077,0.641035321079851,-0.169866924283618,0.159278446171395
"PANTOSYN-PWY",-0.512338364966818,0.661862688882694,-0.173305520461499,0.152310534940547
"PENTOSE-P-PWY",0.155339240935885,0.213936105069389,-0.150844806183128,0.602713282275544
"PEPTIDOGLYCANSYN-PWY",-0.301470443009204,0.551663067481587,-0.181549631233382,0.343491259968972
"PHOSLIPSYN-PWY",-0.249033849200262,0.516077854861719,-0.17958603316051,0.378227109806091
"POLYISOPRENSYN-PWY",-0.515723649841045,0.655780225088952,-0.169321498780797,0.136953008065839
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",0.406309429480038,-0.0449717933765339,-0.097987602060809,0.630313640431675
"PWY-1861",0.0262046414918494,-0.306545153652461,0.142635633381913,-0.43457266035795
"PWY-2941",0.036017510701191,-0.310411934735833,0.141633186053068,-0.423701730290635
"PWY-2942",-0.435038113833877,0.628339609116962,-0.179699775430299,0.233152171245877
"PWY-3001",-0.307100464839774,0.555964743919356,-0.181996396275221,0.340514464398726
"PWY-3781",-0.166741261649488,0.454504288858512,-0.173694948807512,0.423777352040459
"PWY-4361",-0.0713566329270277,-0.244929035243463,0.141234986383309,-0.506387790510089
"PWY-4984",-0.0201911860487682,-0.160341385375672,0.0846224307204741,-0.285765524612224
"PWY-5097",-0.572538108948948,0.691618966897874,-0.170115976156535,0.09506413764345
"PWY-5100",-0.590294070069963,0.279569893156234,0.0372640959887925,-0.580441096023607
"PWY-5101",-0.0908379648596776,0.404926450790453,-0.171800671212541,0.477083112709484
"PWY-5103",-0.190113452926772,0.478361161743246,-0.178492535935499,0.42080863710562
"PWY-5121",-0.267167519299313,0.525342887078475,-0.178773262005466,0.36145523650634
"PWY-5180",0.0919702164173835,-0.412784908336453,0.175321161518822,-0.487429509121897
"PWY-5182",0.0919702164173835,-0.412784908336453,0.175321161518822,-0.487429509121897
"PWY-5188",-0.282441408523279,0.540913725720009,-0.181898808698737,0.359484182732858
